"stack","root","parent","status","template_resources","physical_entries","lambda","appsync","dynamodb_native","dynamodb_custom","cognito","s3","iam","custom","nested","outputs"
"amplify-d2cux232bpa951-Demo-branch-e6d14a69-amplifyDataAmplifyTableManagerNestedStackA-1XPCIKO48E5IY","amplify-d2cux232bpa951-Demo-branch-e6d14a6927","amplify-d2cux232bpa951-Demo-branch-e6d14a6927-data7552DF31-HPK4IGEJV5ID","CREATE_COMPLETE","9","9","2","0","0","0","0","0","5","0","0","1"
"amplify-d2cux232bpa951-Demo-branch-e6d14a69-amplifyDataApplicationAnswerNestedStackApp-86EPEO9LUE9B","amplify-d2cux232bpa951-Demo-branch-e6d14a6927","amplify-d2cux232bpa951-Demo-branch-e6d14a6927-data7552DF31-HPK4IGEJV5ID","CREATE_COMPLETE","42","42","0","39","0","1","0","0","1","1","0","4"
"amplify-d2cux232bpa951-Demo-branch-e6d14a69-amplifyDataApplicationAuditEventNestedStac-BB0YG475T92T","amplify-d2cux232bpa951-Demo-branch-e6d14a6927","amplify-d2cux232bpa951-Demo-branch-e6d14a6927-data7552DF31-HPK4IGEJV5ID","CREATE_COMPLETE","42","42","0","39","0","1","0","0","1","1","0","4"
"amplify-d2cux232bpa951-Demo-branch-e6d14a69-amplifyDataApplicationCreatorProfileNested-86L9D176ARFC","amplify-d2cux232bpa951-Demo-branch-e6d14a6927","amplify-d2cux232bpa951-Demo-branch-e6d14a6927-data7552DF31-HPK4IGEJV5ID","CREATE_COMPLETE","42","42","0","39","0","1","0","0","1","1","0","4"
"amplify-d2cux232bpa951-Demo-branch-e6d14a69-amplifyDataApplicationIdempotencyNestedSta-RE1BQEE2AFEP","amplify-d2cux232bpa951-Demo-branch-e6d14a6927","amplify-d2cux232bpa951-Demo-branch-e6d14a6927-data7552DF31-HPK4IGEJV5ID","CREATE_COMPLETE","38","38","0","35","0","1","0","0","1","1","0","2"
"amplify-d2cux232bpa951-Demo-branch-e6d14a69-amplifyDataApplicationPublicRateLimitNeste-Z3UMH2GN05O4","amplify-d2cux232bpa951-Demo-branch-e6d14a6927","amplify-d2cux232bpa951-Demo-branch-e6d14a6927-data7552DF31-HPK4IGEJV5ID","CREATE_COMPLETE","38","38","0","35","0","1","0","0","1","1","0","2"
"amplify-d2cux232bpa951-Demo-branch-e6d14a69-amplifyDataApplicationScheduleNestedStackA-1NJ1XUCAYXWB9","amplify-d2cux232bpa951-Demo-branch-e6d14a6927","amplify-d2cux232bpa951-Demo-branch-e6d14a6927-data7552DF31-HPK4IGEJV5ID","CREATE_COMPLETE","42","42","0","39","0","1","0","0","1","1","0","4"
"amplify-d2cux232bpa951-Demo-branch-e6d14a69-amplifyDataApplicationSubmissionNestedStac-1AT22KLF5M3K8","amplify-d2cux232bpa951-Demo-branch-e6d14a6927","amplify-d2cux232bpa951-Demo-branch-e6d14a6927-data7552DF31-HPK4IGEJV5ID","CREATE_COMPLETE","50","50","0","47","0","1","0","0","1","1","0","4"
"amplify-d2cux232bpa951-Demo-branch-e6d14a69-amplifyDataBoardPermissionRuleNestedStackB-2VEDWTE4WXVM","amplify-d2cux232bpa951-Demo-branch-e6d14a6927","amplify-d2cux232bpa951-Demo-branch-e6d14a6927-data7552DF31-HPK4IGEJV5ID","CREATE_COMPLETE","38","38","0","35","0","1","0","0","1","1","0","4"
"amplify-d2cux232bpa951-Demo-branch-e6d14a69-amplifyDataBrandAccessNestedStackBrandAcce-9AG6SBCQ57YU","amplify-d2cux232bpa951-Demo-branch-e6d14a6927","amplify-d2cux232bpa951-Demo-branch-e6d14a6927-data7552DF31-HPK4IGEJV5ID","CREATE_COMPLETE","38","38","0","35","0","1","0","0","1","1","0","4"
"amplify-d2cux232bpa951-Demo-branch-e6d14a69-amplifyDataBrandAccessPermissionNestedStac-XEC7HJGZNC4W","amplify-d2cux232bpa951-Demo-branch-e6d14a6927","amplify-d2cux232bpa951-Demo-branch-e6d14a6927-data7552DF31-HPK4IGEJV5ID","CREATE_COMPLETE","38","38","0","35","0","1","0","0","1","1","0","4"
"amplify-d2cux232bpa951-Demo-branch-e6d14a69-amplifyDataBrandNestedStackBrandNestedStac-B78YHC2XFHAP","amplify-d2cux232bpa951-Demo-branch-e6d14a6927","amplify-d2cux232bpa951-Demo-branch-e6d14a6927-data7552DF31-HPK4IGEJV5ID","CREATE_COMPLETE","38","38","0","35","0","1","0","0","1","1","0","4"
